,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
19260701,0.02,-0.28,-0.41,0.57,0.52,-0.25,-0.02,0.61,-0.01,0.97,0.6,0.2
19260702,0.29,1.07,0.83,0.64,0.97,0.13,0.26,0.47,0.01,0.13,-0.02,0.11
19260706,0.24,0.72,0.24,0.17,0.23,0.44,0.17,0.73,-0.23,0.23,0.08,-0.2
19260707,0.27,0.06,0.05,-0.04,0.73,-0.01,0.32,0.17,-0.58,0.33,-0.18,0.17
19260708,0.69,0.05,0.23,0.12,-0.09,0.36,0.4,-0.2,-0.36,0.91,-0.42,0.42
19260709,-0.39,-1.15,-0.93,-1.6,-1.57,-0.83,0.21,-0.74,0.4,-0.28,0.04,-0.26
19260710,0.67,1.23,0.75,0.65,0.63,0.5,0.07,0.55,0.52,-0.17,0.33,0.57
19260712,0.27,0.78,0.19,-1.27,0.44,0.03,0.15,0.23,0.27,0.22,-0.54,0.41
19260713,-0.46,1.92,0.64,0.37,1.14,1.76,0.03,0.2,0.32,0.57,0.89,0.25
19260714,-0.36,0.65,0.32,-0.54,0.35,1.22,-0.01,0.52,0.25,0.09,0.2,-0.24
19260715,0,-0.74,-0.25,-0.11,-0.49,-1.42,-0.2,-0.38,-0.76,-0.45,-0.64,-0.59
19260716,0.11,2.41,0.87,0.5,1.02,0.8,0.06,0.32,0.06,0.23,-0.09,0.07
19260717,0.6,1.22,0.25,0.08,0.6,1.04,-0.16,0.24,0.75,0.38,-0.71,0.06
19260719,-0.01,0.64,0.24,-0.4,-0.24,0.49,-0.01,0.29,0.33,-0.78,-0.29,-0.27
19260720,-0.45,-0.36,-0.72,-0.52,-0.93,-1.45,0.01,0.08,-1.47,-0.57,-0.06,-0.39
19260721,-0.46,-0.95,-0.4,-1.2,-0.72,-1.22,-0.05,-0.28,-0.12,-0.52,-0.03,-0.36
19260722,-0.41,-1.02,-1.02,-0.7,-0.33,-0.92,-0.13,-0.4,-1.13,-0.68,-0.23,-0.8
19260723,-0.07,-0.34,-0.06,0.16,-0.54,0.25,-0.31,0.26,-0.05,0.53,0.33,0.1
19260724,-0.05,-0.44,-0.07,-0.08,-0.09,-0.77,-0.5,-0.15,-0.29,-0.33,0.23,0.15
19260726,0.42,1.07,0.5,0.42,1.13,0.74,0.79,-0.04,0.32,0.44,-0.03,0.46
19260727,0.09,0.9,0.47,0.76,0.99,0.36,0.13,0.34,0.42,-0.13,0.38,0.29
19260728,0.65,2.58,1.26,1.24,1.24,1.31,0.27,1,1.73,0.11,0.94,0.61
19260729,-0.34,3.45,0.68,-0.14,2.25,-0.08,-0.08,0.51,-0.36,0.48,-0.2,-0.25
19260730,0.25,-0.01,0.14,-0.33,-0.14,0.49,-0.25,0.86,0.17,0.1,0.25,0.54
19260731,-0.05,1.24,-0.15,0.18,0.71,0.24,-0.32,1.65,-0.02,0.04,-0.44,1.18
19260802,0.35,3.18,0.38,1.71,1.51,-0.27,1.18,-0.2,0.52,0.72,0.58,0.4
19260803,0.71,2.82,1.31,-0.75,2.05,-0.03,-0.37,-0.29,0.66,1.06,2.82,-0.01
19260804,-0.26,-2.23,-0.19,-0.22,-0.62,0.96,-0.23,0.45,-0.01,-0.44,-0.07,-0.49
19260805,0.11,-1.16,0.05,-0.28,-0.42,0.22,0.38,0.75,-0.09,-0.08,-0.32,-0.09
19260806,0.69,1.39,0.55,0.49,1.31,-0.11,0.1,-0.05,0.68,0.87,-0.18,1.21
19260807,0.24,2.37,0.74,-0.04,1.68,0.31,0.2,-0.15,0.54,-0.04,0.34,0.08
19260809,0.36,1.43,0.75,-1.32,0.86,0.58,0.07,-0.22,0.48,0.18,-0.4,0.29
19260810,-0.56,-4.25,-1.57,-0.64,-3.25,-1.52,0.09,-1.16,-1.39,-1.01,-0.89,-1.2
19260811,-0.2,-1.41,-0.7,-0.37,-0.81,-0.62,-0.07,-0.89,0.07,0.05,-0.03,-0.61
19260812,0.32,1.11,0.6,0.45,1.16,2.07,-0.09,0.59,0.76,-1.02,0.1,1.65
19260813,0.16,0.35,0.72,0.82,1.07,2.21,0.3,-0.11,0,-0.68,0.53,0.65
19260814,0.48,1.12,0.6,1.09,2.45,1.41,0.23,0.58,0.78,0.58,0.35,0.03
19260816,-0.07,-0.34,0.59,-0.09,-0.1,-1.25,0.52,0.02,-0.2,1.16,0.49,0.34
19260817,-0.28,-2.01,-1,-1.06,-1.82,-1.06,0.12,-0.72,-1.37,-0.19,-0.81,-0.81
19260818,-0.14,0.92,0.05,0.31,0,0.39,0.2,-0.18,-0.09,0.79,-0.04,0.63
19260819,-0.66,-1.44,-0.79,0.08,-0.98,-0.68,-0.03,-0.42,-0.93,-0.1,-0.06,-0.61
19260820,-0.11,0.04,-0.51,0.04,-0.27,-0.34,-0.18,-0.24,-0.4,-0.04,0.03,-0.13
19260821,0.24,0.35,0.66,0.34,0.31,0.46,0,0.18,0.21,0.71,-0.22,0.26
19260823,0.17,2.46,0.17,-0.06,1.89,0.21,-0.1,0.04,0.49,0.27,0.03,0.59
19260824,0.03,-1.31,-1.09,-0.68,-2.05,-1.01,-0.17,-0.54,-1.85,-0.3,0.52,-0.77
19260825,-0.36,-0.27,-0.66,-0.16,-0.9,-0.54,-0.21,-0.3,-0.24,0.02,0.03,-0.04
19260826,0.51,0.68,0.55,0.47,0.81,0.29,-0.08,0.5,0.57,0.03,0.98,0.68
19260827,0.62,0.16,0.17,0.79,0.24,0.05,0.23,0.3,0.09,0.51,0.21,0.29
19260828,0.82,0.02,0.61,0.29,0.86,0.16,0.16,0.38,0.22,1,-0.02,0.05
19260830,0.29,-0.68,0.04,2.15,-0.75,-0.27,-0.15,-0.09,-0.77,-0.35,0.18,0.58
19260831,0.5,0.69,0.41,0.15,0.96,0.44,0.06,0.09,0.62,0.46,0.05,1.4
19260901,0.81,0.51,0.52,-0.1,0.44,1.03,0.32,1.53,1.11,0.54,0.86,0.52
19260902,-0.54,0.43,-0.01,-0.32,-0.41,-0.71,0.16,0.3,0.1,0.3,0.12,0.24
19260903,-0.14,0.66,0.44,0.27,0.43,0.36,0.53,1.24,-0.34,0.03,0.53,1.02
19260907,0.63,1.7,0.62,0.55,1.37,0.86,0.59,-0.15,2.23,0.57,-0.36,-0.21
19260908,0.22,-0.34,-0.54,-0.74,-0.92,-0.5,0.33,-0.34,-1.18,-0.69,-0.11,-0.8
19260909,-0.01,-0.17,0.11,-0.11,-0.19,-0.13,0.09,-0.49,0.34,-0.23,0.21,-0.1
19260910,-0.27,-1.12,-0.63,-1.39,-0.57,-1.07,0.16,-0.58,-0.78,-0.64,-0.28,-1.03
